!SIL 1.0	SIL
<UNK> 1.0	SPN
aluwani 1.0	a l u w a n i 
aluwε 1.0	a l u w ε 
aluwεgban 1.0	a l u w ε g b a n 
aluwεmε 1.0	a l u w ε m ε 
aluwεzan 1.0	a l u w ε z a n 
alya 1.0	a l y a 
alyɔki 1.0	a l y ɔ k i 
alaanu 1.0	a l a a n u 
alavu 1.0	a l a v u 
alavunu 1.0	a l a v u n u 
alaxi 1.0	a l a x i 
ale 1.0	a l e 
alenina 1.0	a l e n i n a 
alinnuvinu 1.0	a l i n n u v i n u 
alinnyanu 1.0	a l i n n y a n u 
aluun 1.0	a l u u n 
alɔ 1.0	a l ɔ 
alɔba 1.0	a l ɔ b a 
alɔcyɔnmεji 1.0	a l ɔ c y ɔ n m ε j i 
alɔcyɔnmεjitɔ 1.0	a l ɔ c y ɔ n m ε j i t ɔ 
alɔdi 1.0	a l ɔ d i 
alɔdudo 1.0	a l ɔ d u d o 
alɔdo 1.0	a l ɔ d o 
alɔdogba 1.0	a l ɔ d o g b a 
alɔdomε 1.0	a l ɔ d o m ε 
alɔdomεtɔ 1.0	a l ɔ d o m ε t ɔ 
alɔfun 1.0	a l ɔ f u n 
alɔgan 1.0	a l ɔ g a n 
alɔganvi 1.0	a l ɔ g a n v i 
alɔgba 1.0	a l ɔ g b a 
alɔgogo 1.0	a l ɔ g o g o 
alɔgokɔ 1.0	a l ɔ g o k ɔ 
alɔgudokpε 1.0	a l ɔ g u d o k p ε 
alɔgɔ 1.0	a l ɔ g ɔ 
alɔgɔnumε 1.0	a l ɔ g ɔ n u m ε 
alɔgɔnumεtɔ 1.0	a l ɔ g ɔ n u m ε t ɔ 
alɔji 1.0	a l ɔ j i 
alɔkpa 1.0	a l ɔ k p a 
alɔkpakpa 1.0	a l ɔ k p a k p a 
alɔkε 1.0	a l ɔ k ε 
alɔlyεnzɔ 1.0	a l ɔ l y ε n z ɔ 
alɔlyεnzɔwatɔ 1.0	a l ɔ l y ε n z ɔ w a t ɔ 
alɔlyεn 1.0	a l ɔ l y ε n 
alɔlyεnwiwa 1.0	a l ɔ l y ε n w i w a 
alɔmayimε 1.0	a l ɔ m a y i m ε 
alɔmε 1.0	a l ɔ m ε 
alɔni 1.0	a l ɔ n i 
alɔnu 1.0	a l ɔ n u 
alɔnugbɔvi 1.0	a l ɔ n u g b ɔ v i 
alɔnuglo 1.0	a l ɔ n u g l o 
alɔnuzɔwatɔ 1.0	a l ɔ n u z ɔ w a t ɔ 
alɔsu 1.0	a l ɔ s u 
alɔvi 1.0	a l ɔ v i 
alɔviton 1.0	a l ɔ v i t o n 
alɔvinu 1.0	a l ɔ v i n u 
alɔwlihan 1.0	a l ɔ w l i h a n 
alɔwliwli 1.0	a l ɔ w l i w l i 
alɔwliwlinuɖuɖu 1.0	a l ɔ w l i w l i n u ɖ u ɖ u 
alɔwliwlixwe 1.0	a l ɔ w l i w l i x w e 
alɔxwixwe 1.0	a l ɔ x w i x w e 
alɔxwixwi 1.0	a l ɔ x w i x w i 
alɔxwe 1.0	a l ɔ x w e 
alɔtlɔ 1.0	a l ɔ t l ɔ 
alε 1.0	a l ε 
alεmεti 1.0	a l ε m ε t i 
alεnu 1.0	a l ε n u 
alεnunu 1.0	a l ε n u n u 
alεnutɔ 1.0	a l ε n u t ɔ 
alεnuxɔntɔn 1.0	a l ε n u x ɔ n t ɔ n 
alεsandli 1.0	a l ε s a n d l i 
alεsandlu 1.0	a l ε s a n d l u 
ama 1.0	a m a 
amacisayi 1.0	a m a c i s a y i 
amaciya 1.0	a m a c i y a 
amadi 1.0	a m a d i 
amaditin 1.0	a m a d i t i n 
amagbo 1.0	a m a g b o 
amagbomε 1.0	a m a g b o m ε 
amaliya 1.0	a m a l i y a 
amaliyahu 1.0	a m a l i y a h u 
amalu 1.0	a m a l u 
amalεki 1.0	a m a l ε k i 
amamu 1.0	a m a m u 
aman 1.0	a m a n 
amana 1.0	a m a n a 
amanɔ 1.0	a m a n ɔ 
amanɔnu 1.0	a m a n ɔ n u 
amasa 1.0	a m a s a 
amasayi 1.0	a m a s a y i 
amasin 1.0	a m a s i n 
amasiyasi 1.0	a m a s i y a s i 
amasiya 1.0	a m a s i y a 
amavivε 1.0	a m a v i v ε 
amaɖukanlin 1.0	a m a ɖ u k a n l i n 
amaɖutεn 1.0	a m a ɖ u t ε n 
amasε 1.0	a m a s ε 
amelicanu 1.0	a m e l i c a n u 
american 1.0	a m e r i c a n 
amerika 1.0	a m e r i k a 
ami 1.0	a m i 
amigo 1.0	a m i g o 
amigovi 1.0	a m i g o v i 
aminadabu 1.0	a m i n a d a b u 
aminɔ 1.0	a m i n ɔ 
amisa 1.0	a m i s a 
amitayi 1.0	a m i t a y i 
amito 1.0	a m i t o 
amita 1.0	a m i t a 
amiyon 1.0	a m i y o n 
amlongɔ 1.0	a m l o n g ɔ 
amlon 1.0	a m l o n 
amlɔ 1.0	a m l ɔ 
amlɔgɔ 1.0	a m l ɔ g ɔ 
amo 1.0	a m o 
amon 1.0	a m o n 
amu 1.0	a m u 
amulafεlu 1.0	a m u l a f ε l u 
amulamu 1.0	a m u l a m u 
amumicadayi 1.0	a m u m i c a d a y i 
amumihudi 1.0	a m u m i h u d i 
amumihuu 1.0	a m u m i h u u 
amumiyεli 1.0	a m u m i y ε l i 
amumizavadu 1.0	a m u m i z a v a d u 
amumɔɔ 1.0	a m u m ɔ ɔ 
amunɔni 1.0	a m u n ɔ n i 
amunɔɔ 1.0	a m u n ɔ ɔ 
amusi 1.0	a m u s i 
amyɔ 1.0	a m y ɔ 
amyɔlɔ 1.0	a m y ɔ l ɔ 
amyɔnɔ 1.0	a m y ɔ n ɔ 
amyɔsun 1.0	a m y ɔ s u n 
amyɔxwe 1.0	a m y ɔ x w e 
amɔ 1.0	a m ɔ 
amɔku 1.0	a m ɔ k u 
amɔliti 1.0	a m ɔ l i t i 
amɔni 1.0	a m ɔ n i 
amɔsi 1.0	a m ɔ s i 
amɔε 1.0	a m ɔ ε 
amɔεkantɔ 1.0	a m ɔ ε k a n t ɔ 
amεtisi 1.0	a m ε t i s i 
amεyadi 1.0	a m ε y a d i 
an 1.0	a n 
ana 1.0	a n a 
anamεlεki 1.0	a n a m ε l ε k i 
ananiya 1.0	a n a n i y a 
ananiyasi 1.0	a n a n i y a s i 
anatɔti 1.0	a n a t ɔ t i 
anatɔtinu 1.0	a n a t ɔ t i n u 
anaxalati 1.0	a n a x a l a t i 
anaya 1.0	a n a y a 
andlonikusi 1.0	a n d l o n i k u s i 
andle 1.0	a n d l e 
andre 1.0	a n d r e 
anfipolisi 1.0	a n f i p o l i s i 
anhεεn 1.0	a n h ε ε n 
ani 1.0	a n i 
animu 1.0	a n i m u 
aniwanu 1.0	a n i w a n u 
aniwu 1.0	a n i w u 
aniwutu 1.0	a n i w u t u 
aniwε 1.0	a n i w ε 
aniyamu 1.0	a n i y a m u 
annie 1.0	a n n i e 
annu 1.0	a n n u 
anon 1.0	a n o n 
anpliatusi 1.0	a n p l i a t u s i 
antipasi 1.0	a n t i p a s i 
antipatlisi 1.0	a n t i p a t l i s i 
antotiya 1.0	a n t o t i y a 
antyɔci 1.0	a n t y ɔ c i 
antyɔcinu 1.0	a n t y ɔ c i n u 
anuvu 1.0	a n u v u 
anya 1.0	a n y a 
anyu 1.0	a n y u 
anyufɔkpa 1.0	a n y u f ɔ k p a 
anyuglo 1.0	a n y u g l o 
anyukan 1.0	a n y u k a n 
anyuwema 1.0	a n y u w e m a 
anyuzɔwatɔ 1.0	a n y u z ɔ w a t ɔ 
anaki 1.0	a n a k i 
anani 1.0	a n a n i 
ananu 1.0	a n a n u 
anati 1.0	a n a t i 
anavu 1.0	a n a v u 
aniwo 1.0	a n i w o 
anɔ 1.0	a n ɔ 
anɔsin 1.0	a n ɔ s i n 
anɔnu 1.0	a n ɔ n u 
anεmu 1.0	a n ε m u 
anεε 1.0	a n ε ε 
apiwusixi 1.0	a p i w u s i x i 
apoloni 1.0	a p o l o n i 
apolosu 1.0	a p o l o s u 
apolyɔni 1.0	a p o l y ɔ n i 
apεlu 1.0	a p ε l u 
arm 1.0	a r m 
arrived 1.0	a r r i v e d 
arinɔla 1.0	a r i n ɔ l a 
as 1.0	a s 
asa 1.0	a s a 
asaaxadɔɔn 1.0	a s a a x a d ɔ ɔ n 
asaleεli 1.0	a s a l e ε l i 
asaliyahu 1.0	a s a l i y a h u 
asangokan 1.0	a s a n g o k a n 
asaxεli 1.0	a s a x ε l i 
asaya 1.0	a s a y a 
ase 1.0	a s e 
aselela 1.0	a s e l e l a 
asemɔni 1.0	a s e m ɔ n i 
asenati 1.0	a s e n a t i 
asi 1.0	a s i 
asicetɔ 1.0	a s i c e t ɔ 
asidida 1.0	a s i d i d a 
asietɔ 1.0	a s i e t ɔ 
asigban 1.0	a s i g b a n 
asikuku 1.0	a s i k u k u 
asiliεli 1.0	a s i l i ε l i 
asilii 1.0	a s i l i i 
asiliinu 1.0	a s i l i i n u 
asina 1.0	a s i n a 
asinapaa 1.0	a s i n a p a a 
asinɔ 1.0	a s i n ɔ 
asipata 1.0	a s i p a t a 
asisunɔ 1.0	a s i s u n ɔ 
asitaatee 1.0	a s i t a a t e e 
asitɔ 1.0	a s i t ɔ 
asitɔn 1.0	a s i t ɔ n 
asixɔntɔn 1.0	a s i x ɔ n t ɔ n 
asiya 1.0	a s i y a 
asizɔ 1.0	a s i z ɔ 
aslɔkε 1.0	a s l ɔ k ε 
asu 1.0	a s u 
asukuku 1.0	a s u k u k u 
asya 1.0	a s y a 
asyakpo 1.0	a s y a k p o 
asyɔ 1.0	a s y ɔ 
asyɔvi 1.0	a s y ɔ v i 
asafu 1.0	a s a f u 
asan 1.0	a s a n 
asasyεn 1.0	a s a s y ε n 
asiba 1.0	a s i b a 
asigba 1.0	a s i g b a 
asii 1.0	a s i i 
asikpε 1.0	a s i k p ε 
asisi 1.0	a s i s i 
asudida 1.0	a s u d i d a 
asufantɔ 1.0	a s u f a n t ɔ 
asuka 1.0	a s u k a 
asukukuxɔmε 1.0	a s u k u k u x ɔ m ε 
asukusi 1.0	a s u k u s i 
asukusiwu 1.0	a s u k u s i w u 
asuu 1.0	a s u u 
asuxwe 1.0	a s u x w e 
asuxɔntɔn 1.0	a s u x ɔ n t ɔ n 
asuzɔ 1.0	a s u z ɔ 
asɔfin 1.0	a s ɔ f i n 
asɔkle 1.0	a s ɔ k l e 
asɔsi 1.0	a s ɔ s i 
asεlu 1.0	a s ε l u 
asεnkliti 1.0	a s ε n k l i t i 
asεε 1.0	a s ε ε 
ata 1.0	a t a 
atagan 1.0	a t a g a n 
atala 1.0	a t a l a 
atalya 1.0	a t a l y a 
atalii 1.0	a t a l i i 
atalimu 1.0	a t a l i m u 
atalɔti 1.0	a t a l ɔ t i 
atan 1.0	a t a n 
atata 1.0	a t a t a 
atavi 1.0	a t a v i 
ataya 1.0	a t a y a 
atayi 1.0	a t a y i 
ataεlihlɔyi 1.0	a t a ε l i h l ɔ y i 
ati 1.0	a t i 
atin 1.0	a t i n 
atinkεn 1.0	a t i n k ε n 
atlayi 1.0	a t l a y i 
atlɔtiadaa 1.0	a t l ɔ t i a d a a 
atlɔtibεtiyoavunu 1.0	a t l ɔ t i b ε t i y o a v u n u 
atlɔticofani 1.0	a t l ɔ t i c o f a n i 
aton 1.0	a t o n 
ataki 1.0	a t a k i 
atinflo 1.0	a t i n f l o 
atingbo 1.0	a t i n g b o 
atingbotɔ 1.0	a t i n g b o t ɔ 
atinhunhɔn 1.0	a t i n h u n h ɔ n 
atinkan 1.0	a t i n k a n 
atinkwin 1.0	a t i n k w i n 
atinka 1.0	a t i n k a 
atinla 1.0	a t i n l a 
atinma 1.0	a t i n m a 
atinmu 1.0	a t i n m u 
atinsinsεn 1.0	a t i n s i n s ε n 
atinsinsεngbo 1.0	a t i n s i n s ε n g b o 
atinta 1.0	a t i n t a 
atinvu 1.0	a t i n v u 
atinzɔ 1.0	a t i n z ɔ 
atoon 1.0	a t o o n 
atɔn 1.0	a t ɔ n 
atɔngbe 1.0	a t ɔ n g b e 
atɔngbεta 1.0	a t ɔ n g b ε t a 
atɔngɔ 1.0	a t ɔ n g ɔ 
atɔnnɔ 1.0	a t ɔ n n ɔ 
atɔnvlɔɖo 1.0	a t ɔ n v l ɔ ɖ o 
atɔtɔ 1.0	a t ɔ t ɔ 
atɔtɔnɔ 1.0	a t ɔ t ɔ n ɔ 
atɔxwε 1.0	a t ɔ x w ε 
atɔɔn 1.0	a t ɔ ɔ n 
atɔɔngɔ 1.0	a t ɔ ɔ n g ɔ 
atɔɔnvlɔɖo 1.0	a t ɔ ɔ n v l ɔ ɖ o 
atɔɔnnu 1.0	a t ɔ ɔ n n u 
atε 1.0	a t ε 
atεn 1.0	a t ε n 
atεni 1.0	a t ε n i 
atεninu 1.0	a t ε n i n u 
atεε 1.0	a t ε ε 
ava 1.0	a v a 
avadido 1.0	a v a d i d o 
avaguta 1.0	a v a g u t a 
avaja 1.0	a v a j a 
avalimu 1.0	a v a l i m u 
avatεn 1.0	a v a t ε n 
avi 1.0	a v i 
avialuvɔnu 1.0	a v i a l u v ɔ n u 
aviasafu 1.0	a v i a s a f u 
avicua 1.0	a v i c u a 
avicagi 1.0	a v i c a g i 
avicayi 1.0	a v i c a y i 
avicuu 1.0	a v i c u u 
avida 1.0	a v i d a 
avidyεli 1.0	a v i d y ε l i 
avidani 1.0	a v i d a n i 
avidɔni 1.0	a v i d ɔ n i 
avigalu 1.0	a v i g a l u 
avigayilu 1.0	a v i g a y i l u 
avihayilu 1.0	a v i h a y i l u 
avihu 1.0	a v i h u 
avilamu 1.0	a v i l a m u 
avimayεli 1.0	a v i m a y ε l i 
avinadavu 1.0	a v i n a d a v u 
avinɔwamu 1.0	a v i n ɔ w a m u 
avitalu 1.0	a v i t a l u 
avituvu 1.0	a v i t u v u 
avivi 1.0	a v i v i 
avivo 1.0	a v i v o 
avivɔ 1.0	a v i v ɔ 
avivɔfun 1.0	a v i v ɔ f u n 
aviεli 1.0	a v i ε l i 
aviεzεε 1.0	a v i ε z ε ε 
avlona 1.0	a v l o n a 
avodudolinu 1.0	a v o d u d o l i n u 
avokanfou 1.0	a v o k a n f o u 
avoligan 1.0	a v o l i g a n 
avuda 1.0	a v u d a 
avudi 1.0	a v u d i 
avudeεli 1.0	a v u d e ε l i 
avun 1.0	a v u n 
avunεε 1.0	a v u n ε ε 
avuvimu 1.0	a v u v i m u 
avuvɔ 1.0	a v u v ɔ 
avuvɔfun 1.0	a v u v ɔ f u n 
avivu 1.0	a v i v u 
aviya 1.0	a v i y a 
avicεnitin 1.0	a v i c ε n i t i n 
aviyatɔ 1.0	a v i y a t ɔ 
avunsakɔwo 1.0	a v u n s a k ɔ w o 
avunvi 1.0	a v u n v i 
avɔ 1.0	a v ɔ 
avɔgangbε 1.0	a v ɔ g a n g b ε 
avɔgoxɔ 1.0	a v ɔ g o x ɔ 
avɔkan 1.0	a v ɔ k a n 
avɔkanfun 1.0	a v ɔ k a n f u n 
avɔlɔnkpɔn 1.0	a v ɔ l ɔ n k p ɔ n 
avɔlɔnkpɔntin 1.0	a v ɔ l ɔ n k p ɔ n t i n 
avɔlɔntɔ 1.0	a v ɔ l ɔ n t ɔ 
avɔnu 1.0	a v ɔ n u 
avɔnyatɔ 1.0	a v ɔ n y a t ɔ 
avɔsisɔ 1.0	a v ɔ s i s ɔ 
avɔvunmε 1.0	a v ɔ v u n m ε 
avɔxwε 1.0	a v ɔ x w ε 
avεlibεtimaaka 1.0	a v ε l i b ε t i m a a k a 
avεlicitimu 1.0	a v ε l i c i t i m u 
avεlikelamimu 1.0	a v ε l i k e l a m i m u 
avεlimayimu 1.0	a v ε l i m a y i m u 
avεlimislayimu 1.0	a v ε l i m i s l a y i m u 
avεlimεhola 1.0	a v ε l i m ε h o l a 
avεlimεholanu 1.0	a v ε l i m ε h o l a n u 
awa 1.0	a w a 
awadakpεkpε 1.0	a w a d a k p ε k p ε 
awadamε 1.0	a w a d a m ε 
awagoli 1.0	a w a g o l i 
awajije 1.0	a w a j i j e 
awakanmε 1.0	a w a k a n m ε 
awakanmεku 1.0	a w a k a n m ε k u 
awanu 1.0	a w a n u 
awanɔ 1.0	a w a n ɔ 
awaɖotεn 1.0	a w a ɖ o t ε n 
awada 1.0	a w a d a 
awajijε 1.0	a w a j i j ε 
awajijεnu 1.0	a w a j i j ε n u 
awajijεxwe 1.0	a w a j i j ε x w e 
awajijεzan 1.0	a w a j i j ε z a n 
awaji 1.0	a w a j i 
awan 1.0	a w a n 
awaɖonu 1.0	a w a ɖ o n u 
awhanfounnou 1.0	a w h a n f o u n n o u 
awi 1.0	a w i 
awinnya 1.0	a w i n n y a 
awinya 1.0	a w i n y a 
awlinmεdan 1.0	a w l i n m ε d a n 
awo 1.0	a w o 
awonɔbokɔnɔ 1.0	a w o n ɔ b o k ɔ n ɔ 
awoxotɔ 1.0	a w o x o t ɔ 
awoyo 1.0	a w o y o 
awu 1.0	a w u 
awukɔ 1.0	a w u k ɔ 
awanna 1.0	a w a n n a 
awasagbe 1.0	a w a s a g b e 
awiti 1.0	a w i t i 
awitinu 1.0	a w i t i n u 
awii 1.0	a w i i 
awe 1.0	a w e 
awexomε 1.0	a w e x o m ε 
awinnyado 1.0	a w i n n y a d o 
awinnyagban 1.0	a w i n n y a g b a n 
awinnyaglo 1.0	a w i n n y a g l o 
awinnyakan 1.0	a w i n n y a k a n 
awinnyakpatɔ 1.0	a w i n n y a k p a t ɔ 
awinnyaka 1.0	a w i n n y a k a 
awinnyatε 1.0	a w i n n y a t ε 
awinnyazɔ 1.0	a w i n n y a z ɔ 
awinnyazɔwatɔ 1.0	a w i n n y a z ɔ w a t ɔ 
awobobo 1.0	a w o b o b o 
awovi 1.0	a w o v i 
awovigbεtɔ 1.0	a w o v i g b ε t ɔ 
awovinu 1.0	a w o v i n u 
awɔn 1.0	a w ɔ n 
awɔngbonɔ 1.0	a w ɔ n g b o n ɔ 
awɔnkɔ 1.0	a w ɔ n k ɔ 
awɔnnu 1.0	a w ɔ n n u 
awɔntin 1.0	a w ɔ n t i n 
awɔntinnu 1.0	a w ɔ n t i n n u 
axawa 1.0	a x a w a 
axi 1.0	a x i 
axibani 1.0	a x i b a n i 
axiezεε 1.0	a x i e z ε ε 
axikamu 1.0	a x i k a m u 
axila 1.0	a x i l a 
axiludi 1.0	a x i l u d i 
axilamu 1.0	a x i l a m u 
aximani 1.0	a x i m a n i 
aximaasi 1.0	a x i m a a s i 
aximɔti 1.0	a x i m ɔ t i 
aximε 1.0	a x i m ε 
aximεlεki 1.0	a x i m ε l ε k i 
axinadavu 1.0	a x i n a d a v u 
axinɔwamu 1.0	a x i n ɔ w a m u 
axisahaa 1.0	a x i s a h a a 
axisamaki 1.0	a x i s a m a k i 
axisinɔ 1.0	a x i s i n ɔ 
axisaa 1.0	a x i s a a 
axitofεli 1.0	a x i t o f ε l i 
axituvu 1.0	a x i t u v u 
axitεgbe 1.0	a x i t ε g b e 
axivεnu 1.0	a x i v ε n u 
axivεxivε 1.0	a x i v ε x i v ε 
axivε 1.0	a x i v ε 
axiwudi 1.0	a x i w u d i 
axixwε 1.0	a x i x w ε 
axiya 1.0	a x i y a 
axiyamu 1.0	a x i y a m u 
axiyani 1.0	a x i y a n i 
axiyo 1.0	a x i y o 
axizayi 1.0	a x i z a y i 
axlavunu 1.0	a x l a v u n u 
axlayi 1.0	a x l a y i 
axoaxi 1.0	a x o a x i 
axosuzo 1.0	a x o s u z o 
axoxi 1.0	a x o x i 
axwa 1.0	a x w a 
axansunxo 1.0	a x a n s u n x o 
axasaxasa 1.0	a x a s a x a s a 
axazi 1.0	a x a z i 
axeko 1.0	a x e k o 
axɔ 1.0	a x ɔ 
axɔnu 1.0	a x ɔ n u 
axɔsi 1.0	a x ɔ s i 
axɔsigbakun 1.0	a x ɔ s i g b a k u n 
axɔsu 1.0	a x ɔ s u 
axɔsuzangbe 1.0	a x ɔ s u z a n g b e 
axɔsugbakun 1.0	a x ɔ s u g b a k u n 
axɔsuhutɔ 1.0	a x ɔ s u h u t ɔ 
axɔsuli 1.0	a x ɔ s u l i 
axɔsutɔ 1.0	a x ɔ s u t ɔ 
axɔsuvi 1.0	a x ɔ s u v i 
axɔsuwu 1.0	a x ɔ s u w u 
axɔsuwuntun 1.0	a x ɔ s u w u n t u n 
axɔsuzinkpo 1.0	a x ɔ s u z i n k p o 
axɔsuzɔwatɔ 1.0	a x ɔ s u z ɔ w a t ɔ 
axɔsuɖuto 1.0	a x ɔ s u ɖ u t o 
axɔsuɖuɖu 1.0	a x ɔ s u ɖ u ɖ u 
axɔtɔnɔ 1.0	a x ɔ t ɔ n ɔ 
axɔvi 1.0	a x ɔ v i 
axɔɖutɔ 1.0	a x ɔ ɖ u t ɔ 
axɔsukpogε 1.0	a x ɔ s u k p o g ε 
axεε 1.0	a x ε ε 
aya 1.0	a y a 
ayalɔni 1.0	a y a l ɔ n i 
ayalɔninu 1.0	a y a l ɔ n i n u 
ayati 1.0	a y a t i 
ayi 1.0	a y i 
ayiblublunɔ 1.0	a y i b l u b l u n ɔ 
ayice 1.0	a y i c e 
ayiclecayi 1.0	a y i c l e c a y i 
ayidosun 1.0	a y i d o s u n 
ayididanɔ 1.0	a y i d i d a n ɔ 
ayigεdεgεdεnɔ 1.0	a y i g ε d ε g ε d ε n ɔ 
ayiha 1.0	a y i h a 
ayihon 1.0	a y i h o n 
ayihoun 1.0	a y i h o u n 
ayihundanunɔ 1.0	a y i h u n d a n u n ɔ 
ayihun 1.0	a y i h u n 
ayijayi 1.0	a y i j a y i 
ayijlɔjlɔ 1.0	a y i j l ɔ j l ɔ 
ayijlɔjlɔnɔ 1.0	a y i j l ɔ j l ɔ n ɔ 
ayijuunjɔ 1.0	a y i j u u n j ɔ 
ayikungban 1.0	a y i k u n g b a n 
ayikun 1.0	a y i k u n 
ayikungle 1.0	a y i k u n g l e 
ayikunnusunnu 1.0	a y i k u n n u s u n n u 
ayimasɔgbenanɔ 1.0	a y i m a s ɔ g b e n a n ɔ 
ayimεya 1.0	a y i m ε y a 
ayini 1.0	a y i n i 
ayinɔni 1.0	a y i n ɔ n i 
ayisyεnsyεnnɔ 1.0	a y i s y ε n s y ε n n ɔ 
ayisɔgbenanɔ 1.0	a y i s ɔ g b e n a n ɔ 
ayisɔnmɔ 1.0	a y i s ɔ n m ɔ 
ayivɔ 1.0	a y i v ɔ 
ayixa 1.0	a y i x a 
ayixamasɔgbenanɔ 1.0	a y i x a m a s ɔ g b e n a n ɔ 
ayizen 1.0	a y i z e n 
ayizεn 1.0	a y i z ε n 
ayizεngɔ 1.0	a y i z ε n g ɔ 
ayiɖote 1.0	a y i ɖ o t e 
ayiɖotenanɔ 1.0	a y i ɖ o t e n a n ɔ 
ayoman 1.0	a y o m a n 
ayomasa 1.0	a y o m a s a 
ayounmlinmlin 1.0	a y o u n m l i n m l i n 
ayessi 1.0	a y e s s i 
ayihunhɔn 1.0	a y i h u n h ɔ n 
ayim 1.0	a y i m 
ayitεhɔnnu 1.0	a y i t ε h ɔ n n u 
ayii 1.0	a y i i 
ayiinu 1.0	a y i i n u 
ayitehɔnnu 1.0	a y i t e h ɔ n n u 
ayihinhɔn 1.0	a y i h i n h ɔ n 
ayihɔngbe 1.0	a y i h ɔ n g b e 
ayijijε 1.0	a y i j i j ε 
ayijinjɔn 1.0	a y i j i n j ɔ n 
ayijε 1.0	a y i j ε 
ayikpεn 1.0	a y i k p ε n 
ayikungbannɔ 1.0	a y i k u n g b a n n ɔ 
ayimlɔmlɔ 1.0	a y i m l ɔ m l ɔ 
ayisun 1.0	a y i s u n 
ayisajε 1.0	a y i s a j ε 
ayisinzεn 1.0	a y i s i n z ε n 
ayiso 1.0	a y i s o 
ayisonɔ 1.0	a y i s o n ɔ 
ayixomε 1.0	a y i x o m ε 
aza 1.0	a z a 
azaglɔgan 1.0	a z a g l ɔ g a n 
azakpo 1.0	a z a k p o 
azalya 1.0	a z a l y a 
azalyahu 1.0	a z a l y a h u 
azalεli 1.0	a z a l ε l i 
azan 1.0	a z a n 
azani 1.0	a z a n i 
azaniya 1.0	a z a n i y a 
azava 1.0	a z a v a 
azavaxwe 1.0	a z a v a x w e 
azazi 1.0	a z a z i 
azaziyahu 1.0	a z a z i y a h u 
azazεli 1.0	a z a z ε l i 
azeka 1.0	a z e k a 
azigadi 1.0	a z i g a d i 
azimawεti 1.0	a z i m a w ε t i 
azin 1.0	a z i n 
azinkan 1.0	a z i n k a n 
azinkpo 1.0	a z i n k p o 
azinzɔnnɔ 1.0	a z i n z ɔ n n ɔ 
azinzɔnɔn 1.0	a z i n z ɔ n ɔ n 
azinzɔnɔ 1.0	a z i n z ɔ n ɔ 
azinɔtitabɔɔ 1.0	a z i n ɔ t i t a b ɔ ɔ 
azinɖiɖo 1.0	a z i n ɖ i ɖ o 
aziyεli 1.0	a z i y ε l i 
aziza 1.0	a z i z a 
azizagbe 1.0	a z i z a g b e 
azizɔ 1.0	a z i z ɔ 
aziεli 1.0	a z i ε l i 
azlikamu 1.0	a z l i k a m u 
azliyεli 1.0	a z l i y ε l i 
azo 1.0	a z o 
azogba 1.0	a z o g b a 
azogboje 1.0	a z o g b o j e 
azojigbe 1.0	a z o j i g b e 
azomamo 1.0	a z o m a m o 
azomen 1.0	a z o m e n 
azon 1.0	a z o n 
azonsi 1.0	a z o n s i 
azubuki 1.0	a z u b u k i 
azunzɔnnɔ 1.0	a z u n z ɔ n n ɔ 
azuva 1.0	a z u v a 
azwi 1.0	a z w i 
azwijɔmɔ 1.0	a z w i j ɔ m ɔ 
azii 1.0	a z i i 
aziinu 1.0	a z i i n u 
azuu 1.0	a z u u 
aze 1.0	a z e 
azegan 1.0	a z e g a n 
azetɔ 1.0	a z e t ɔ 
azɔ 1.0	a z ɔ 
azɔgo 1.0	a z ɔ g o 
azɔhwεkada 1.0	a z ɔ h w ε k a d a 
azɔmen 1.0	a z ɔ m e n 
azɔmin 1.0	a z ɔ m i n 
azɔmε 1.0	a z ɔ m ε 
azɔmεvi 1.0	a z ɔ m ε v i 
azɔn 1.0	a z ɔ n 
azɔngbletɔ 1.0	a z ɔ n g b l e t ɔ 
azɔnhwi 1.0	a z ɔ n h w i 
azɔnwinwεn 1.0	a z ɔ n w i n w ε n 
azɔnxɔmε 1.0	a z ɔ n x ɔ m ε 
azɔnxε 1.0	a z ɔ n x ε 
azɔnzan 1.0	a z ɔ n z a n 
azɔnɖatɔ 1.0	a z ɔ n ɖ a t ɔ 
azɔtɔsi 1.0	a z ɔ t ɔ s i 
azɔwatɔ 1.0	a z ɔ w a t ɔ 
azɔwatεn 1.0	a z ɔ w a t ε n 
azɔwiwa 1.0	a z ɔ w i w a 
azɔgbε 1.0	a z ɔ g b ε 
azɔgan 1.0	a z ɔ g a n 
azɔjikpɔntɔ 1.0	a z ɔ j i k p ɔ n t ɔ 
azɔjiwu 1.0	a z ɔ j i w u 
azɔkwε 1.0	a z ɔ k w ε 
azɔvi 1.0	a z ɔ v i 
azɔwanu 1.0	a z ɔ w a n u 
azɔwazan 1.0	a z ɔ w a z a n 
azɔwu 1.0	a z ɔ w u 
azɔxwe 1.0	a z ɔ x w e 
aɖawun 1.0	a ɖ a w u n 
aɖawunɖazɔnsi 1.0	a ɖ a w u n ɖ a z ɔ n s i 
aɖa 1.0	a ɖ a 
aɖi 1.0	a ɖ i 
aɖimεvi 1.0	a ɖ i m ε v i 
aɖisi 1.0	a ɖ i s i 
aɖisilɔ 1.0	a ɖ i s i l ɔ 
aɖisixwe 1.0	a ɖ i s i x w e 
aɖivi 1.0	a ɖ i v i 
aɖu 1.0	a ɖ u 
